requirement_ref,schema_or_model_refs,tool_contract_refs,schema_baseline_refs,service_refs,test_refs,acceptance_refs,operational_verification_refs,status
ONT-TRACK-REQ-0038,ItemSourceBinding,,item_source_bindings,src/docket/services/tracked_context.py,tests/integration/test_attachment_evidence.py::test_source_fragment_binding_replays_import_without_duplicate_context,ONT-TRACK-ACC-0009,,implemented_verified
ONT-TRACK-REQ-0007,TemporalBinding,,temporal_bindings,src/docket/services/tracked_context.py,tests/integration/test_tracked_context_changesets.py::test_one_changeset_atomically_creates_item_task_and_due_date,ONT-TRACK-ACC-0002|ONT-TRACK-ACC-0006,,implemented_verified
ONT-TRACK-DEC-0001,TemporalRole,,temporal_bindings,src/docket/schemas/tracked_context.py,tests/unit/test_tracked_context_primitives.py::test_temporal_role_requires_the_correct_value_shape,ONT-TRACK-ACC-0003|ONT-TRACK-ACC-0007,,implemented_verified
ONT-TRACK-REQ-0008,TemporalValue,,temporal_bindings,src/docket/schemas/tracked_context.py,tests/unit/test_tracked_context_primitives.py::test_date_precision_remains_date_precision|tests/unit/test_tracked_context_primitives.py::test_datetime_rejects_nonexistent_and_unresolved_ambiguous_local_time,ONT-TRACK-ACC-0003,,implemented_verified
ONT-TRACK-INV-0004,TemporalValue,,temporal_bindings,src/docket/schemas/tracked_context.py,tests/unit/test_tracked_context_primitives.py::test_date_precision_remains_date_precision,ONT-TRACK-ACC-0003,,implemented_verified
ONT-TRACK-REQ-0009,TemporalRole|TemporalValue,,temporal_bindings,src/docket/schemas/tracked_context.py,tests/unit/test_tracked_context_primitives.py::test_temporal_role_requires_the_correct_value_shape,ONT-TRACK-ACC-0003|ONT-TRACK-ACC-0008,,implemented_verified
ONT-TRACK-REQ-0010,TemporalBinding|Conflict,,temporal_bindings|conflicts,src/docket/services/tracked_context.py|src/docket/services/conflicts.py,tests/integration/test_authority_model.py::test_ambiguous_temporal_replacement_opens_conflict_and_preserves_time|tests/integration/test_tracked_context_changesets.py::test_temporal_supersession_preserves_prior_binding,ONT-TRACK-ACC-0005|ONT-TRACK-ACC-0010,,implemented_verified
ONT-TRACK-INV-0005,TemporalBinding,,temporal_bindings,src/docket/services/tracked_context.py,tests/integration/test_tracked_context_changesets.py::test_one_changeset_atomically_creates_item_task_and_due_date,ONT-TRACK-ACC-0002|ONT-TRACK-ACC-0006,,implemented_verified
ONT-TRACK-REQ-0011,Task,,tasks,src/docket/services/tracked_context.py,tests/unit/test_tracked_context_primitives.py::test_task_requires_exactly_one_item_and_exact_completion_time|tests/integration/test_tracked_context_changesets.py::test_one_changeset_atomically_creates_item_task_and_due_date,ONT-TRACK-ACC-0004,,implemented_verified
ONT-TRACK-REQ-0012,Task|TemporalBinding,,tasks|temporal_bindings,src/docket/services/tracked_context.py,tests/integration/test_tracked_context_changesets.py::test_one_changeset_atomically_creates_item_task_and_due_date,ONT-TRACK-ACC-0004,,implemented_verified
ONT-TRACK-REQ-0013,TaskPatchInput,docket_commit_changeset,tasks,src/docket/services/tracked_context.py|src/docket/services/change_sets.py,tests/unit/test_tracked_context_primitives.py::test_task_requires_exactly_one_item_and_exact_completion_time|tests/integration/test_authority_model.py::test_open_conflict_blocks_whole_changeset_until_blocked_effect_removed,ONT-TRACK-ACC-0004|ONT-TRACK-ACC-0025,,implemented_verified
ONT-TRACK-INV-0006,CanonicalEvent,,canonical_events,src/docket/services/canonical_events.py,tests/integration/test_tracked_context_changesets.py::test_event_realization_requires_compatible_temporal_bounds,ONT-TRACK-ACC-0005|ONT-TRACK-ACC-0008,,implemented_verified
ONT-TRACK-REQ-0014,EventItemLink,,event_item_links,src/docket/services/canonical_events.py,tests/integration/test_tracked_context_graph.py::test_item_context_and_network_preserve_typed_primitive_boundaries,ONT-TRACK-ACC-0005,,implemented_verified
ONT-TRACK-REQ-0015,Item|CanonicalEvent|TemporalBinding,,items|canonical_events|temporal_bindings,src/docket/services/canonical_events.py|src/docket/services/tracked_context.py,tests/integration/test_tracked_context_changesets.py::test_event_realization_requires_compatible_temporal_bounds|tests/integration/test_tracked_context_graph.py::test_item_context_and_network_preserve_typed_primitive_boundaries,ONT-TRACK-ACC-0005,,implemented_verified
ONT-TRACK-REQ-0016,CalendarReadModel,docket_list_provider_calendar_events,provider_event_bindings|canonical_events|temporal_bindings,src/docket/services/calendar_sync.py,tests/integration/test_calendar_read_model.py::test_calendar_read_exposes_time_marker_type_and_role|tests/integration/test_calendar_read_model.py::test_calendar_series_read_resolves_clean_binding_and_reminder,ONT-TRACK-ACC-0008,,implemented_verified
ONT-TRACK-REQ-0017,TemporalCalendarProjection,docket_commit_changeset,temporal_calendar_projections,src/docket/services/tracked_context.py|src/docket/services/provider_intents.py,tests/integration/test_temporal_calendar_projection.py::test_time_projection_compiles_and_executes_provider_operation,ONT-TRACK-ACC-0008,,implemented_verified
ONT-TRACK-REQ-0039,CalendarDisplayPolicy,docket_commit_changeset,temporal_calendar_projections,src/docket/schemas/tracked_context.py|src/docket/services/tracked_context.py,tests/integration/test_temporal_calendar_projection.py::test_time_allows_only_one_active_calendar_projection|tests/integration/test_temporal_calendar_projection.py::test_time_projection_compiles_and_executes_provider_operation,ONT-TRACK-ACC-0008,,implemented_verified
ONT-TRACK-INV-0007,TemporalCalendarProjection,,temporal_calendar_projections|provider_event_bindings,src/docket/services/provider_intents.py|src/docket/services/calendar_sync.py,tests/integration/test_calendar_read_model.py::test_calendar_read_exposes_time_marker_type_and_role,ONT-TRACK-ACC-0008,,implemented_verified
ONT-TRACK-REQ-0018,ReminderPlan,docket_list_reminder_plans,reminder_plans,src/docket/services/reminders.py,tests/integration/test_reminder_delivery.py::test_date_reminder_projects_once_and_reconciles_delivery|tests/integration/test_canonical_event_changesets.py::test_reminder_change_compiles_reminder_provider_operation,ONT-TRACK-ACC-0004|ONT-TRACK-ACC-0024,,implemented_verified
ONT-TRACK-REQ-0040,ReminderPlan.subject_ref,docket_list_reminder_plans,reminder_plans|scheduled_notifications,src/docket/services/reminders.py|src/docket/services/tracked_context.py,tests/integration/test_temporal_calendar_projection.py::test_google_popup_reminder_without_calendar_projection_is_rejected|tests/integration/test_reminder_delivery.py::test_date_reminder_projects_once_and_reconciles_delivery,ONT-TRACK-ACC-0024,,implemented_verified
ONT-TRACK-REQ-0019,AttentionCase|CaseItem,docket_get_attention_case,attention_cases|case_items,src/docket/services/intelligence.py,tests/integration/test_attention_intelligence.py::test_unknown_sender_meeting_admits_case_for_event_not_identity,ONT-TRACK-ACC-0013|ONT-TRACK-ACC-0022,,implemented_verified
ONT-TRACK-INV-0013,AttentionAdmission,docket_submit_triage_analysis,attention_cases|case_items,src/docket/services/intelligence.py,tests/integration/test_attention_intelligence.py::test_identity_only_attention_submission_is_rejected_before_persistence|tests/integration/test_attention_intelligence.py::test_optional_outreach_is_brief_without_attention_demand,ONT-TRACK-ACC-0020|ONT-TRACK-ACC-0021|ONT-TRACK-ACC-0022,,implemented_verified
ONT-TRACK-REQ-0044,AttentionAdmissionReason,docket_submit_triage_analysis,attention_cases|case_items,src/docket/services/intelligence.py,tests/integration/test_attention_intelligence.py::test_required_action_and_time_record_exact_consequence_classes,ONT-TRACK-ACC-0021|ONT-TRACK-ACC-0022|ONT-TRACK-ACC-0026,,implemented_verified
ONT-TRACK-REQ-0045,CaseItem.resolution_role,docket_submit_triage_analysis,case_items,src/docket/services/intelligence.py,tests/integration/test_attention_intelligence.py::test_unknown_sender_meeting_admits_case_for_event_not_identity,ONT-TRACK-ACC-0021|ONT-TRACK-ACC-0023,,implemented_verified
ONT-TRACK-REQ-0046,TriageDisposition,docket_submit_triage_analysis,brief_entries|attention_cases,src/docket/services/intelligence.py,tests/integration/test_attention_intelligence.py::test_optional_outreach_is_brief_without_attention_demand|tests/integration/test_attention_intelligence.py::test_noise_is_suppressed_without_case_or_projection,ONT-TRACK-ACC-0020|ONT-TRACK-ACC-0026,,implemented_verified
ONT-TRACK-REQ-0047,BriefEntry,docket_get_attention_case,brief_entries|intent_sessions,src/docket/services/briefs.py|src/docket/services/reply_bindings.py,tests/integration/test_daily_briefs.py::test_overnight_cases_publish_once_in_replyable_morning_brief|tests/adversarial/test_plugin_actor_gate.py::test_authorized_daily_thread_message_reaches_model_with_thread_provenance,ONT-TRACK-ACC-0024,,implemented_verified
ONT-TRACK-REQ-0048,CaseResolution,docket_commit_changeset,attention_cases|case_items,src/docket/services/case_resolutions.py,tests/integration/test_canonical_event_changesets.py::test_package_pickup_case_reply_commits_event_route_and_resolution_first_try|tests/integration/test_authority_model.py::test_open_conflict_blocks_whole_changeset_until_blocked_effect_removed,ONT-TRACK-ACC-0023|ONT-TRACK-ACC-0025,,implemented_verified
ONT-TRACK-INV-0008,TriageAuthority,docket_submit_triage_analysis,triage_runs|context_packets,src/docket/services/intelligence.py,tests/integration/test_attention_intelligence.py::test_unknown_sender_meeting_admits_case_for_event_not_identity|tests/integration/test_attention_intelligence.py::test_noise_is_suppressed_without_case_or_projection,ONT-TRACK-ACC-0013,,implemented_verified
ONT-TRACK-REQ-0020,Task|TemporalBinding,docket_commit_changeset,tasks|temporal_bindings,src/docket/services/change_sets.py|src/docket/services/tracked_context.py,tests/integration/test_attention_intelligence.py::test_required_action_and_time_record_exact_consequence_classes|tests/integration/test_tracked_context_changesets.py::test_one_changeset_atomically_creates_item_task_and_due_date,ONT-TRACK-ACC-0013|ONT-TRACK-ACC-0022,,implemented_verified
ONT-TRACK-REQ-0021,AttachmentEvidence,,sources|attachment_evidence_metadata,src/docket/services/attachment_evidence.py,tests/integration/test_attachment_evidence.py::test_attachment_is_encrypted_bound_and_idempotent|tests/adversarial/test_plugin_actor_gate.py::test_operator_attachment_manifest_preserves_exact_cached_bytes,ONT-TRACK-ACC-0002|ONT-TRACK-ACC-0012,,implemented_verified
ONT-TRACK-REQ-0022,AttachmentEvidence,,attachment_evidence_metadata|encrypted_attachment_blobs,src/docket/services/attachment_evidence.py,tests/integration/test_attachment_evidence.py::test_attachment_is_encrypted_bound_and_idempotent|tests/integration/test_attachment_evidence.py::test_attachment_failure_is_terminal_and_records_no_plaintext,ONT-TRACK-ACC-0012|ONT-TRACK-ACC-0015,ONT-TRACK-OPS-ATTACHMENT-RESTORE-0001,implemented_verified
ONT-TRACK-REQ-0023,AttachmentEvidence,,attachment_evidence_metadata|encrypted_attachment_blobs,src/docket/services/attachment_evidence.py,tests/adversarial/test_plugin_actor_gate.py::test_attachment_binding_is_trusted_but_content_is_explicitly_untrusted|tests/integration/test_attachment_evidence.py::test_pending_attachment_blocks_statement_and_mutation,ONT-TRACK-ACC-0011,,implemented_verified
ONT-TRACK-REQ-0024,AttachmentExtraction,,attachment_evidence_metadata|interpreted_statements,src/docket/services/attachment_evidence.py,tests/integration/test_attachment_evidence.py::test_attachment_statement_preserves_bounded_fragment_lineage,ONT-TRACK-ACC-0012|ONT-TRACK-ACC-0014,,implemented_verified
ONT-TRACK-REQ-0041,ItemSourceBinding,,item_source_bindings,src/docket/services/tracked_context.py,tests/integration/test_attachment_evidence.py::test_attachment_item_requires_exact_fragment_statement|tests/integration/test_attachment_evidence.py::test_attachment_statement_preserves_bounded_fragment_lineage,ONT-TRACK-ACC-0009|ONT-TRACK-ACC-0011,,implemented_verified
ONT-TRACK-REQ-0025,ImportScope,docket_commit_changeset,change_sets|item_source_bindings,src/docket/services/change_sets.py|src/docket/services/tracked_context.py,tests/integration/test_attachment_evidence.py::test_attachment_import_scope_blocks_source_broadening_without_operator_statement|tests/integration/test_attachment_evidence.py::test_one_interactive_call_resolves_explicit_import_authority_symbol,ONT-TRACK-ACC-0002|ONT-TRACK-ACC-0011,,implemented_verified
ONT-TRACK-DEC-0002,ImportScope,docket_commit_changeset,change_sets,src/docket/schemas/authority.py,tests/unit/test_tracked_context_primitives.py::test_import_scope_has_exact_safe_default_and_explicit_authority_shape,ONT-TRACK-ACC-0002|ONT-TRACK-ACC-0011,,implemented_verified
ONT-TRACK-REQ-0026,ItemSourceBinding,,item_source_bindings,src/docket/services/tracked_context.py,tests/integration/test_attachment_evidence.py::test_source_fragment_binding_replays_import_without_duplicate_context,ONT-TRACK-ACC-0009,,implemented_verified
ONT-TRACK-REQ-0027,InterpretedStatement|ItemSourceBinding,,item_source_bindings|interpreted_statements,src/docket/services/statements.py|src/docket/services/tracked_context.py,tests/integration/test_attachment_evidence.py::test_attachment_statement_preserves_bounded_fragment_lineage|tests/integration/test_attachment_evidence.py::test_identical_bytes_in_distinct_uploads_do_not_merge_items,ONT-TRACK-ACC-0010,,implemented_verified
ONT-TRACK-REQ-0028,OperatorChangeSetContent,docket_commit_changeset,change_sets|item_source_bindings,src/docket/schemas/authority.py|src/docket/services/change_sets.py,tests/unit/test_tracked_context_primitives.py::test_tracked_context_import_partition_is_bounded|tests/integration/test_attachment_evidence.py::test_one_interactive_call_completes_import_statement_provenance,ONT-TRACK-ACC-0014,,implemented_verified
ONT-TRACK-REQ-0029,SemanticRequestAttempt,docket_commit_changeset,semantic_request_attempts,src/docket/services/change_sets.py|src/docket/services/interactive_authority.py,tests/integration/test_attachment_evidence.py::test_pending_attachment_blocks_statement_and_mutation|tests/integration/test_authority_model.py::test_freeform_failed_draft_replay_stays_failed_and_rebases_same_request,ONT-TRACK-ACC-0012|ONT-TRACK-ACC-0014,,implemented_verified
ONT-TRACK-REQ-0030,TrackedContextMutation,docket_commit_changeset,items|tasks|temporal_bindings|temporal_calendar_projections|reminder_plans,src/docket/schemas/authority.py|src/docket/services/change_sets.py,tests/unit/test_tracked_context_primitives.py::test_model_facing_changeset_uses_typed_tracked_context_variants|tests/unit/test_tracked_context_primitives.py::test_model_facing_changeset_rejects_legacy_shapes_and_provider_intents,ONT-TRACK-ACC-0002|ONT-TRACK-ACC-0004|ONT-TRACK-ACC-0008,,implemented_verified
ONT-TRACK-REQ-0031,ProviderIntentCompiler,docket_commit_changeset,operations|operation_targets,src/docket/services/provider_intents.py|src/docket/services/change_sets.py,tests/integration/test_temporal_calendar_projection.py::test_time_projection_compiles_and_executes_provider_operation|tests/integration/test_canonical_event_changesets.py::test_existing_event_changes_compile_provider_operation_atomically,ONT-TRACK-ACC-0008|ONT-TRACK-ACC-0018,,implemented_verified
ONT-TRACK-REQ-0032,ContextNeighborhood,docket_search_entities|docket_get_context_neighborhood|docket_query_items|docket_get_item_context,items|tasks|temporal_bindings|event_item_links,src/docket/services/network.py|src/docket/services/tracked_context.py,tests/integration/test_tracked_context_graph.py::test_item_context_and_network_preserve_typed_primitive_boundaries,ONT-TRACK-ACC-0016,,implemented_verified
ONT-TRACK-REQ-0033,CompactToolEnvelope,docket_query_items|docket_get_item_context,items|attachment_evidence_metadata,src/docket/services/tracked_context.py|src/docket/mcp/instrumented.py,tests/integration/test_mcp_output_envelope.py::test_mcp_boundary_minifies_null_omits_and_byte_bounds_default_lists|tests/integration/test_typed_registry.py::test_network_outputs_compact_by_serialized_utf8_bytes,ONT-TRACK-ACC-0016,,implemented_verified
ONT-TRACK-REQ-0049,TriageDisposition,docket_submit_triage_analysis|docket_get_attention_case,attention_cases|case_items|brief_entries,src/docket/services/intelligence.py,tests/integration/test_attention_intelligence.py::test_identity_only_attention_submission_is_rejected_before_persistence|tests/integration/test_attention_intelligence.py::test_optional_outreach_is_brief_without_attention_demand,ONT-TRACK-ACC-0020|ONT-TRACK-ACC-0021|ONT-TRACK-ACC-0022|ONT-TRACK-ACC-0026,,implemented_verified
ONT-TRACK-REQ-0034,CleanResetManifest,,clean_baseline,src/docket/tracked_context_readiness.py,tests/unit/test_tracked_context_rehearsal.py::test_clean_rehearsal_uses_actual_clean_model_metadata|tests/unit/test_tracked_context_rehearsal.py::test_clean_rehearsal_refs_do_not_activate_live_prefixes,ONT-TRACK-ACC-0016|ONT-TRACK-ACC-0018,ONT-TRACK-OPS-RESET-REHEARSAL-0001,implemented_verified
ONT-TRACK-REQ-0035,CleanBaseline,,clean_baseline,src/docket/tracked_context_readiness.py|migrations/clean_versions/2022877699cf_clean_baseline.py,tests/integration/test_migrations.py::test_active_migration_history_is_one_clean_baseline|tests/integration/test_migrations.py::test_clean_baseline_matches_current_metadata,ONT-TRACK-ACC-0016,ONT-TRACK-OPS-CLEAN-ABSENCE-0001,implemented_verified
ONT-TRACK-REQ-0036,CleanResetManifest,,clean_baseline,src/docket/tracked_context_readiness.py,tests/unit/test_tracked_context_rehearsal.py::test_synthetic_closure_is_hash_bound_and_covers_every_artifact|tests/integration/test_tracked_context_readiness.py::test_rehearsal_evidence_is_hash_bound_and_nonmutating,ONT-TRACK-ACC-0016|ONT-TRACK-ACC-0017|ONT-TRACK-ACC-0018,ONT-TRACK-OPS-RESET-REHEARSAL-0001|ONT-TRACK-OPS-GOVERNANCE-RESTORE-0001|ONT-TRACK-OPS-ATTACHMENT-RESTORE-0001,implemented_verified
ONT-TRACK-REQ-0037,TrackedContextTraceability,,clean_baseline,tests/integration/test_tracked_context_readiness.py,tests/integration/test_tracked_context_readiness.py::test_every_normative_tracked_context_clause_is_mapped,ONT-TRACK-ACC-0016,,implemented_verified
ONT-TRACK-REQ-0050,SpecificationArtifact,,clean_baseline,src/docket/specification_artifacts.py,tests/unit/test_specification_artifacts.py::test_tracked_context_candidate_requires_exact_specification_dag|tests/unit/test_specification_artifacts.py::test_signed_implementation_activates_only_the_clean_namespace,ONT-TRACK-ACC-0027,,implemented_verified
ONT-TRACK-REQ-0051,SpecificationSignoffDecision,,clean_baseline,src/docket/services/provenance.py,tests/unit/test_specification_artifacts.py::test_tracked_context_candidate_requires_exact_specification_dag,ONT-TRACK-ACC-0028,,implemented_verified
ONT-TRACK-INV-0014,SpecificationSignoffDecision|ProductionResetAuthorization,,clean_baseline,src/docket/tracked_context_readiness.py,tests/integration/test_tracked_context_readiness.py::test_readiness_status_closes_every_start_blocker_without_reset_authority|tests/unit/test_specification_artifacts.py::test_signed_implementation_activates_only_the_clean_namespace,ONT-TRACK-ACC-0029,ONT-TRACK-OPS-PRODUCTION-AUTHORITY-0001,implemented_verified
ONT-TRACK-INV-0009,TrackedContextReadiness,,clean_baseline,src/docket/tracked_context_readiness.py,tests/integration/test_tracked_context_readiness.py::test_readiness_status_closes_every_start_blocker_without_reset_authority|tests/integration/test_tracked_context_readiness.py::test_rehearsal_evidence_is_hash_bound_and_nonmutating,ONT-TRACK-ACC-0016|ONT-TRACK-ACC-0029,ONT-TRACK-OPS-READINESS-GATE-0001,implemented_verified
