requirement_ref,decision_refs,model_or_schema_refs,tool_contract_refs,migration_refs,service_refs,test_refs,acceptance_refs,operational_verification_refs,status
ONT-REQ-0019,,Fact.valid_from|Fact.valid_to,ONT-TOOL-0008,migrations/versions/0031_typed_registry.py,src/docket/services/conflicts.py,tests/integration/test_authority_model.py::test_nonoverlap_and_explicit_supersession_do_not_open_conflict,ONT-ACC-0028,,implemented_verified
ONT-REQ-0020,,StatementRelation.supersedes,interactive.changeset_commit,migrations/versions/0030_authority_model.py,src/docket/services/conflicts.py|src/docket/services/change_sets.py,tests/integration/test_typed_registry.py::test_fact_supersession_preserves_historical_assertion|tests/integration/test_authority_model.py::test_nonoverlap_and_explicit_supersession_do_not_open_conflict,ONT-ACC-0004,,implemented_verified
ONT-REQ-0021,,Conflict,ONT-TOOL-0008,migrations/versions/0030_authority_model.py,src/docket/services/conflicts.py,tests/integration/test_typed_registry.py::test_ambiguous_fact_contradiction_opens_conflict_and_preserves_canonical_value,ONT-ACC-0005,,implemented_verified
ONT-REQ-0022,,ChangeSetRevision|Conflict,ONT-TOOL-0008|ONT-TOOL-0010|ONT-TOOL-0011,migrations/versions/0030_authority_model.py,src/docket/services/change_sets.py|src/docket/services/conflicts.py,tests/integration/test_authority_model.py::test_open_conflict_blocks_whole_changeset_until_blocked_effect_removed,ONT-ACC-0029,,implemented_verified
ONT-REQ-0023,,Conflict|ConflictStatus,ONT-TOOL-0008,migrations/versions/0030_authority_model.py,src/docket/services/conflicts.py,tests/integration/test_typed_registry.py::test_ambiguous_fact_contradiction_opens_conflict_and_preserves_canonical_value,ONT-ACC-0005,,implemented_verified
ONT-REQ-0024,,Decision|ConflictResolution,ONT-TOOL-0009,migrations/versions/0030_authority_model.py,src/docket/services/conflicts.py|src/docket/services/provenance.py,tests/integration/test_authority_model.py::test_conflict_resolution_commits_through_one_immutable_changeset,ONT-ACC-0006,,implemented_verified
ONT-REQ-0025,ONT-DEC-0018,PublicRefRegistry|ProvenanceRef,ONT-TOOL-0006|ONT-TOOL-0007,migrations/versions/0028_provenance_bootstrap.py|migrations/versions/0029_runtime_provenance_inspection.py|migrations/versions/0037_provider_account_public_refs.py,src/docket/domain/public_refs.py,tests/unit/test_tracked_context_primitives.py::test_clean_public_reference_registry_has_one_meaning_per_prefix|tests/integration/test_history.py::test_provider_identity_source_ref_is_searchable_without_internal_uuid,ONT-ACC-0030,,implemented_verified
ONT-REQ-0026,ONT-DEC-0018,PublicRef,ONT-TOOL-0001|ONT-TOOL-0006|ONT-TOOL-0007,migrations/versions/0028_provenance_bootstrap.py|migrations/versions/0029_runtime_provenance_inspection.py|migrations/versions/0037_provider_account_public_refs.py,src/docket/services/history.py|src/docket/domain/public_refs.py,tests/integration/test_history.py::test_exact_history_lookup_and_conversation_reconstruction_are_public_and_bounded|tests/integration/test_history.py::test_provider_identity_source_ref_is_searchable_without_internal_uuid,ONT-ACC-0030,,implemented_verified
ONT-REQ-0027,,audit_events|AuditEvent,ONT-TOOL-0006|ONT-TOOL-0007,migrations/versions/0028_provenance_bootstrap.py|migrations/versions/0029_runtime_provenance_inspection.py,src/docket/services/provenance.py,tests/integration/test_provenance_ledger.py::test_operator_utterance_is_verbatim_idempotent_and_immutable|tests/integration/test_typed_registry.py::test_rich_registry_graph_commits_atomically_with_create_references,ONT-ACC-0021,,implemented_verified
ONT-REQ-0028,ONT-DEC-0017,tool_invocations|ToolInvocationStatus,interactive.tool_boundary|triage.tool_boundary,migrations/versions/0028_provenance_bootstrap.py|migrations/versions/0029_runtime_provenance_inspection.py,src/docket/mcp/instrumented.py|src/docket/mcp/instrumented.py,tests/integration/test_mcp_traces.py::test_mcp_trace_reconciles_qualified_tool_lifecycle|tests/integration/test_mcp_traces.py::test_mcp_trace_reconciles_qualified_tool_lifecycle,ONT-ACC-0026,,implemented_verified
ONT-REQ-0029,,ToolArgumentFingerprint,interactive.tool_boundary|triage.tool_boundary,migrations/versions/0028_provenance_bootstrap.py|migrations/versions/0029_runtime_provenance_inspection.py,src/docket/mcp/instrumented.py,tests/adversarial/test_plugin_actor_gate.py::test_docket_mcp_hooks_emit_only_bounded_trace_metadata|tests/integration/test_mcp_traces.py::test_mcp_trace_reconciles_qualified_tool_lifecycle,ONT-ACC-0026,,implemented_verified
ONT-REQ-0030,,runtime_log_entries|RuntimeLogEntry,,migrations/versions/0028_provenance_bootstrap.py|migrations/versions/0029_runtime_provenance_inspection.py,src/docket/services/operational_logs.py,tests/integration/test_history.py::test_runtime_log_entry_is_operational_and_immutable,ONT-ACC-0026,,implemented_verified
ONT-REQ-0031,,HistorySearchFilters,ONT-TOOL-0006,migrations/versions/0028_provenance_bootstrap.py|migrations/versions/0029_runtime_provenance_inspection.py,src/docket/services/history.py,tests/integration/test_history.py::test_history_search_filters_paginates_and_stays_under_utf8_budget,ONT-ACC-0021,,implemented_verified
ONT-REQ-0032,,entities|person_profiles,ONT-TOOL-0001|ONT-TOOL-0002,migrations/versions/0031_typed_registry.py,src/docket/services/registry.py,tests/integration/test_typed_registry.py::test_rich_registry_graph_commits_atomically_with_create_references|tests/integration/test_attention_intelligence.py::test_unknown_sender_meeting_admits_case_for_event_not_identity,ONT-ACC-0007,,implemented_verified
ONT-REQ-0033,,entities.entity_kind|organization_profiles|entity_hierarchy,ONT-TOOL-0003|ONT-TOOL-0005,migrations/versions/0031_typed_registry.py,src/docket/services/registry.py|src/docket/services/network.py,tests/integration/test_typed_registry.py::test_rich_registry_graph_commits_atomically_with_create_references,ONT-ACC-0031,,implemented_verified
ONT-REQ-0034,,identity_handles|identity_bindings|sender_identity_emails,ONT-TOOL-0001|ONT-TOOL-0007|ONT-TOOL-0014,migrations/versions/0031_typed_registry.py|migrations/versions/0039_sender_identity_emails.py,src/docket/services/entity_resolution.py|src/docket/services/source_identities.py|src/docket/services/registry.py,tests/integration/test_typed_registry.py::test_unknown_identity_is_not_a_person_and_similarity_is_advisory|tests/integration/test_attention_intelligence.py::test_unknown_sender_meeting_admits_case_for_event_not_identity|tests/integration/test_preferences_and_lanes.py::test_sender_label_groups_exact_emails_and_owns_suppression_policy,ONT-ACC-0007|ONT-ACC-0009,,implemented_verified
ONT-REQ-0035,,affiliations|Affiliation,ONT-TOOL-0002|ONT-TOOL-0003|ONT-TOOL-0011,migrations/versions/0031_typed_registry.py,src/docket/services/registry.py,tests/integration/test_typed_registry.py::test_rich_registry_graph_commits_atomically_with_create_references,ONT-ACC-0031,,implemented_verified
ONT-REQ-0036,,relationships|Relationship,ONT-TOOL-0002|ONT-TOOL-0005|ONT-TOOL-0011,migrations/versions/0031_typed_registry.py,src/docket/services/registry.py,tests/integration/test_typed_registry.py::test_rich_registry_graph_commits_atomically_with_create_references,ONT-ACC-0031,,implemented_verified
ONT-REQ-0037,,facts|Fact,ONT-TOOL-0002|ONT-TOOL-0011,migrations/versions/0031_typed_registry.py,src/docket/services/registry.py,tests/integration/test_typed_registry.py::test_rich_registry_graph_commits_atomically_with_create_references,ONT-ACC-0031,,implemented_verified
ONT-REQ-0038,,interactions|interaction_participants,ONT-TOOL-0002|ONT-TOOL-0003,migrations/versions/0031_typed_registry.py,src/docket/services/registry.py,tests/integration/test_typed_registry.py::test_rich_registry_graph_commits_atomically_with_create_references,ONT-ACC-0031,,implemented_verified
ONT-REQ-0039,,person_profiles.is_operator,ONT-TOOL-0004|ONT-TOOL-0005,migrations/versions/0031_typed_registry.py,src/docket/services/registry.py|src/docket/services/network.py,tests/integration/test_typed_registry.py::test_rich_registry_graph_commits_atomically_with_create_references,ONT-ACC-0031,,implemented_verified
ONT-REQ-0040,,IdentityResolutionBasis,ONT-TOOL-0001|ONT-TOOL-0011,migrations/versions/0031_typed_registry.py,src/docket/services/entity_resolution.py,tests/integration/test_typed_registry.py::test_unknown_identity_is_not_a_person_and_similarity_is_advisory,ONT-ACC-0011,,implemented_verified
ONT-REQ-0041,,IdentityCandidate,ONT-TOOL-0001,migrations/versions/0031_typed_registry.py,src/docket/services/entity_resolution.py,tests/integration/test_typed_registry.py::test_unknown_identity_is_not_a_person_and_similarity_is_advisory,ONT-ACC-0012,,implemented_verified
ONT-REQ-0042,,IdentityCandidateSet,ONT-TOOL-0001|ONT-TOOL-0010,migrations/versions/0031_typed_registry.py,src/docket/services/entity_resolution.py,tests/integration/test_typed_registry.py::test_unknown_identity_is_not_a_person_and_similarity_is_advisory,ONT-ACC-0012,,implemented_verified
ONT-REQ-0043,,IdentityResolutionDisposition,ONT-TOOL-0001|ONT-TOOL-0012,migrations/versions/0031_typed_registry.py,src/docket/services/entity_resolution.py,tests/integration/test_typed_registry.py::test_unknown_identity_is_not_a_person_and_similarity_is_advisory|tests/integration/test_attention_intelligence.py::test_unknown_sender_meeting_admits_case_for_event_not_identity,ONT-ACC-0007|ONT-ACC-0012,,implemented_verified
ONT-REQ-0044,,IdentityResolutionBasis|AuditEvent|SenderIdentityEmail.basis_refs,ONT-TOOL-0006|ONT-TOOL-0007,migrations/versions/0031_typed_registry.py|migrations/versions/0039_sender_identity_emails.py,src/docket/services/entity_resolution.py|src/docket/services/provenance.py|src/docket/services/source_identities.py,tests/integration/test_typed_registry.py::test_unknown_identity_is_not_a_person_and_similarity_is_advisory|tests/integration/test_preferences_and_lanes.py::test_sender_label_groups_exact_emails_and_owns_suppression_policy,ONT-ACC-0011,,implemented_verified
ONT-REQ-0045,ONT-DEC-0015,attention_cases|TriageRun,ONT-TOOL-0013|ONT-TOOL-0014,migrations/versions/0032_attention_intelligence.py,src/docket/services/intelligence.py,tests/integration/test_attention_intelligence.py::test_unknown_sender_meeting_admits_case_for_event_not_identity,ONT-ACC-0007,,implemented_verified
ONT-REQ-0046,ONT-DEC-0015,AttentionCase,ONT-TOOL-0014,migrations/versions/0032_attention_intelligence.py,src/docket/services/intelligence.py,tests/integration/test_attention_intelligence.py::test_unknown_sender_meeting_admits_case_for_event_not_identity,ONT-ACC-0007,,implemented_verified
ONT-REQ-0047,ONT-DEC-0015,case_items,ONT-TOOL-0014,migrations/versions/0032_attention_intelligence.py,src/docket/services/intelligence.py,tests/integration/test_attention_intelligence.py::test_unknown_sender_meeting_admits_case_for_event_not_identity,ONT-ACC-0007,,implemented_verified
ONT-REQ-0048,ONT-DEC-0015,attention_case_revisions|discord_projections,ONT-TOOL-0014,migrations/versions/0032_attention_intelligence.py,src/docket/services/intelligence.py|src/docket/services/discord_projection.py,tests/integration/test_attention_intelligence.py::test_unknown_sender_meeting_admits_case_for_event_not_identity,ONT-ACC-0007,,implemented_verified
ONT-REQ-0049,ONT-DEC-0002,TriageSemanticClass|TriageDisposition,ONT-TOOL-0013,migrations/versions/0032_attention_intelligence.py,src/docket/services/triage.py,tests/integration/test_attention_intelligence.py::test_optional_outreach_is_brief_without_attention_demand|tests/integration/test_attention_intelligence.py::test_noise_is_suppressed_without_case_or_projection,ONT-ACC-0013,,implemented_verified
ONT-REQ-0050,ONT-DEC-0002,TriageCapability,ONT-TOOL-0012|ONT-TOOL-0013|ONT-TOOL-0014|ONT-TOOL-0015,migrations/versions/0032_attention_intelligence.py,src/docket/services/triage.py,tests/integration/test_mcp_contract.py::test_triage_profile_is_exact_and_non_authoritative|tests/integration/test_attention_intelligence.py::test_unknown_sender_meeting_admits_case_for_event_not_identity,ONT-ACC-0020,,implemented_verified
ONT-REQ-0051,ONT-DEC-0002,TriageCapability,triage.profile_contract,migrations/versions/0032_attention_intelligence.py,src/docket/services/triage.py|src/docket/mcp/triage_server.py,tests/integration/test_mcp_contract.py::test_triage_profile_is_exact_and_non_authoritative|tests/integration/test_attention_intelligence.py::test_unknown_sender_meeting_admits_case_for_event_not_identity|tests/unit/test_hermes_skill_contract.py::test_triage_skill_applies_policy_before_resolution_and_forbids_registration,ONT-ACC-0020,ONT-OPS-TRIAGE-CAPABILITY-AUDIT-0001,implemented_verified
ONT-REQ-0052,,context_packets|ContextPacket,ONT-TOOL-0012,migrations/versions/0032_attention_intelligence.py,src/docket/services/intelligence.py,tests/integration/test_attention_intelligence.py::test_unknown_sender_meeting_admits_case_for_event_not_identity,ONT-ACC-0032,,implemented_verified
ONT-REQ-0053,,ContextPacketProjection|SenderResolution,ONT-TOOL-0012|ONT-TOOL-0014,migrations/versions/0032_attention_intelligence.py|migrations/versions/0039_sender_identity_emails.py,src/docket/services/intelligence.py|src/docket/services/source_identities.py,tests/integration/test_attention_intelligence.py::test_unknown_sender_meeting_admits_case_for_event_not_identity|tests/integration/test_attention_intelligence.py::test_noise_is_suppressed_without_case_or_projection,ONT-ACC-0032,,implemented_verified
ONT-REQ-0054,,TrustedContext|UntrustedEvidence,ONT-TOOL-0012,migrations/versions/0032_attention_intelligence.py,src/docket/services/intelligence.py,tests/integration/test_attention_intelligence.py::test_unknown_sender_meeting_admits_case_for_event_not_identity,ONT-ACC-0032,,implemented_verified
ONT-REQ-0055,ONT-DEC-0019,ContextPacket,ONT-TOOL-0012,migrations/versions/0032_attention_intelligence.py,src/docket/services/intelligence.py,tests/integration/test_attention_intelligence.py::test_unknown_sender_meeting_admits_case_for_event_not_identity,ONT-ACC-0032,,implemented_verified
ONT-REQ-0056,,intent_sessions,ONT-TOOL-0010,migrations/versions/0030_authority_model.py,src/docket/services/intent_sessions.py,tests/integration/test_daily_briefs.py::test_overnight_cases_publish_once_in_replyable_morning_brief|tests/integration/test_daily_briefs.py::test_overnight_cases_publish_once_in_replyable_morning_brief,ONT-ACC-0008|ONT-ACC-0016,,implemented_verified
ONT-REQ-0057,,case_revision_refs|brief_revision_refs,ONT-TOOL-0010,migrations/versions/0032_attention_intelligence.py,src/docket/services/intent_sessions.py|src/docket/services/intelligence.py,tests/integration/test_daily_briefs.py::test_overnight_cases_publish_once_in_replyable_morning_brief|tests/integration/test_daily_briefs.py::test_overnight_cases_publish_once_in_replyable_morning_brief,ONT-ACC-0008|ONT-ACC-0016,,implemented_verified
ONT-REQ-0058,,IntentSession,ONT-TOOL-0010,migrations/versions/0030_authority_model.py,src/docket/services/intent_sessions.py,tests/integration/test_daily_briefs.py::test_overnight_cases_publish_once_in_replyable_morning_brief,ONT-ACC-0008,,implemented_verified
ONT-REQ-0059,,ChangeSet,ONT-TOOL-0011,migrations/versions/0030_authority_model.py,src/docket/services/change_sets.py,tests/integration/test_daily_briefs.py::test_overnight_cases_publish_once_in_replyable_morning_brief|tests/integration/test_typed_registry.py::test_rich_registry_graph_commits_atomically_with_create_references,ONT-ACC-0008|ONT-ACC-0010,,implemented_verified
ONT-REQ-0060,,IntentAuthority,ONT-TOOL-0011,migrations/versions/0030_authority_model.py,src/docket/services/change_sets.py,tests/integration/test_canonical_event_changesets.py::test_rich_event_changeset_commits_event_route_and_provider_intents_without_approval|tests/unit/test_hermes_skill_contract.py::test_manual_skill_uses_ledger_authority_without_redundant_approval,ONT-ACC-0008,,implemented_verified
ONT-REQ-0061,,IntentSession|ChangeSet,ONT-TOOL-0001|ONT-TOOL-0011,migrations/versions/0031_typed_registry.py,src/docket/services/intent_sessions.py|src/docket/services/change_sets.py,tests/integration/test_typed_registry.py::test_rich_registry_graph_commits_atomically_with_create_references,ONT-ACC-0033,,implemented_verified
ONT-REQ-0062,,OperatorUtterance|InterpretedStatement|Conflict|ChangeSet,ONT-TOOL-0001|ONT-TOOL-0008|ONT-TOOL-0011,migrations/versions/0031_typed_registry.py,src/docket/services/intent_sessions.py|src/docket/services/change_sets.py,tests/integration/test_typed_registry.py::test_rich_registry_graph_commits_atomically_with_create_references|tests/integration/test_authority_model.py::test_interactive_clarification_resumes_commits_and_replays,ONT-ACC-0033,,implemented_verified
ONT-REQ-0063,,IntentSessionState|ResolvedIntent,ONT-TOOL-0010,migrations/versions/0030_authority_model.py,src/docket/services/intent_sessions.py,tests/integration/test_authority_model.py::test_interactive_clarification_resumes_commits_and_replays,ONT-ACC-0003,,implemented_verified
ONT-REQ-0064,,ResolvedIntent,ONT-TOOL-0010,migrations/versions/0030_authority_model.py,src/docket/services/intent_sessions.py,tests/integration/test_authority_model.py::test_interactive_clarification_resumes_commits_and_replays|tests/integration/test_authority_model.py::test_open_conflict_blocks_whole_changeset_until_blocked_effect_removed,ONT-ACC-0034,,implemented_verified
ONT-REQ-0065,,ClarificationSet,ONT-TOOL-0010,migrations/versions/0030_authority_model.py,src/docket/services/intent_sessions.py,tests/integration/test_authority_model.py::test_interactive_clarification_resumes_commits_and_replays,ONT-ACC-0034,,implemented_verified
ONT-REQ-0066,,intent_sessions|intent_turns,ONT-TOOL-0010,migrations/versions/0030_authority_model.py,src/docket/services/intent_sessions.py,tests/integration/test_authority_model.py::test_intent_session_and_turn_survive_as_durable_exact_state,ONT-ACC-0024,,implemented_verified
ONT-REQ-0067,,ChangeSet,ONT-TOOL-0011,migrations/versions/0030_authority_model.py,src/docket/services/change_sets.py,tests/integration/test_authority_model.py::test_interactive_clarification_resumes_commits_and_replays|tests/integration/test_canonical_event_changesets.py::test_rich_event_changeset_commits_event_route_and_provider_intents_without_approval,ONT-ACC-0003|ONT-ACC-0008,,implemented_verified
ONT-REQ-0068,,ChangeSet,ONT-TOOL-0011,migrations/versions/0030_authority_model.py,src/docket/services/change_sets.py,tests/integration/test_canonical_event_changesets.py::test_rich_event_changeset_commits_event_route_and_provider_intents_without_approval|tests/integration/test_authority_model.py::test_open_conflict_blocks_whole_changeset_until_blocked_effect_removed,ONT-ACC-0003,,implemented_verified
ONT-REQ-0069,,change_sets,ONT-TOOL-0007|ONT-TOOL-0011,migrations/versions/0030_authority_model.py,src/docket/services/change_sets.py,tests/integration/test_authority_model.py::test_conflict_resolution_commits_through_one_immutable_changeset,ONT-ACC-0035,,implemented_verified
ONT-REQ-0070,,ChangeSetValidation,ONT-TOOL-0011,migrations/versions/0030_authority_model.py,src/docket/services/change_sets.py,tests/integration/test_authority_model.py::test_open_conflict_blocks_whole_changeset_until_blocked_effect_removed|tests/integration/test_canonical_event_changesets.py::test_rich_event_changeset_commits_event_route_and_provider_intents_without_approval,ONT-ACC-0003,,implemented_verified
ONT-REQ-0071,,ChangeSetTransaction,ONT-TOOL-0011,migrations/versions/0030_authority_model.py,src/docket/services/change_sets.py,tests/integration/test_canonical_event_changesets.py::test_rich_event_changeset_commits_event_route_and_provider_intents_without_approval,ONT-ACC-0019,,implemented_verified
ONT-REQ-0072,,operations.originating_changeset_ref,ONT-TOOL-0011,migrations/versions/0030_authority_model.py,src/docket/services/change_sets.py|src/docket/services/operations.py,tests/integration/test_canonical_event_changesets.py::test_rich_event_changeset_commits_event_route_and_provider_intents_without_approval,ONT-ACC-0019,,implemented_verified
ONT-REQ-0073,,calendar_lanes|CalendarLane,interactive.calendar_lane_list,migrations/versions/0033_preferences_and_lanes.py,src/docket/services/calendar_lanes.py,tests/integration/test_preferences_and_lanes.py::test_ignore_unknown_sender_and_create_lane_route_commit_in_one_changeset,ONT-ACC-0036,,implemented_verified
ONT-REQ-0074,,CalendarLanePolicyProvenance,interactive.calendar_lane_list|ONT-TOOL-0011,migrations/versions/0033_preferences_and_lanes.py,src/docket/services/calendar_lanes.py,tests/integration/test_preferences_and_lanes.py::test_ignore_unknown_sender_and_create_lane_route_commit_in_one_changeset,ONT-ACC-0036,,implemented_verified
ONT-REQ-0075,ONT-DEC-0003,LaneRoutingDecision,ONT-TOOL-0011,migrations/versions/0033_preferences_and_lanes.py,src/docket/services/policies.py,tests/integration/test_preferences_and_lanes.py::test_lane_precedent_requires_three_latest_consistent_operator_decisions,ONT-ACC-0017,,implemented_verified
ONT-REQ-0076,ONT-DEC-0003,LaneSemanticInference,ONT-TOOL-0010|ONT-TOOL-0011,migrations/versions/0033_preferences_and_lanes.py,src/docket/services/policies.py,tests/integration/test_preferences_and_lanes.py::test_lane_precedent_requires_three_latest_consistent_operator_decisions,ONT-ACC-0018,,implemented_verified
ONT-REQ-0077,ONT-DEC-0003,lane_routing_decisions,ONT-TOOL-0007|ONT-TOOL-0011,migrations/versions/0033_preferences_and_lanes.py,src/docket/services/policies.py,tests/integration/test_preferences_and_lanes.py::test_ignore_unknown_sender_and_create_lane_route_commit_in_one_changeset|tests/integration/test_preferences_and_lanes.py::test_lane_precedent_requires_three_latest_consistent_operator_decisions,ONT-ACC-0017,,implemented_verified
ONT-REQ-0078,,preferences|TRIAGE.md,ONT-TOOL-0012|ONT-TOOL-0015,migrations/versions/0031_typed_registry.py,src/docket/services/policies.py,tests/integration/test_preferences_and_lanes.py::test_ignore_unknown_sender_and_create_lane_route_commit_in_one_changeset|tests/unit/test_release_script_contract.py::test_gmail_triage_installer_pins_an_isolated_profile_and_local_delivery|tests/adversarial/test_plugin_actor_gate.py::test_authorized_chat_receives_bounded_operator_preferences,ONT-ACC-0013,,implemented_verified
