clause_id,kind,implementation_targets,test_plan,phase,status
ONT-ASSEMBLY-REQ-0006,requirement,"schemas/assembly.py;services/changeset_assembly.py","test_changeset_assembly_schema.py::test_stage_patch_is_bounded_and_discriminated",implementation,planned
ONT-ASSEMBLY-REQ-0007,requirement,"services/changeset_assembly.py;services/change_sets.py","test_changeset_assembly.py::test_incomplete_draft_is_durable_but_not_committable",implementation,planned
ONT-ASSEMBLY-REQ-0008,requirement,"models/authority.py;services/changeset_assembly.py","test_changeset_assembly_postgres.py::test_cross_attempt_stale_commit_is_rejected",implementation,planned
ONT-ASSEMBLY-REQ-0009,requirement,"models/authority.py;services/changeset_assembly.py","test_changeset_assembly.py::test_new_attempt_reviews_before_edit_or_commit",implementation,planned
ONT-ASSEMBLY-REQ-0010,requirement,"models/authority.py;internal_api/router.py;services/changeset_assembly.py","test_changeset_assembly_postgres.py::test_same_attempt_calls_preserve_causal_order",implementation,planned
ONT-ASSEMBLY-REQ-0011,requirement,"models/authority.py;internal_api/router.py;plugin/docket_discord","test_changeset_assembly.py::test_stage_operation_replay_returns_original_outcome",implementation,planned
ONT-ASSEMBLY-REQ-0012,requirement,"services/change_sets.py;services/changeset_assembly.py","test_changeset_assembly.py::test_lost_commit_response_returns_durable_receipt",implementation,planned
ONT-ASSEMBLY-REQ-0013,requirement,"schemas/assembly.py;services/changeset_compiler.py","test_changeset_compiler.py::test_compiler_refuses_missing_semantics",implementation,planned
ONT-ASSEMBLY-REQ-0014,requirement,"services/changeset_compiler.py;models/authority.py","test_changeset_compiler.py::test_entry_replacement_replaces_complete_owned_set",implementation,planned
ONT-ASSEMBLY-REQ-0015,requirement,"services/changeset_assembly.py","test_changeset_assembly.py::test_review_maps_entries_to_compiled_actions",implementation,planned
ONT-ASSEMBLY-REQ-0016,requirement,"services/changeset_assembly.py;mcp/instrumented.py","test_changeset_assembly.py::test_stage_receipt_is_bounded_and_compact",implementation,planned
ONT-ASSEMBLY-REQ-0017,requirement,"services/changeset_assembly.py","test_changeset_assembly.py::test_review_cursor_stays_on_one_revision",implementation,planned
ONT-ASSEMBLY-REQ-0018,requirement,"services/changeset_assembly.py;services/change_sets.py","test_changeset_assembly.py::test_commit_receipt_is_durable_compact_and_provider_explicit",implementation,planned
ONT-ASSEMBLY-REQ-0019,requirement,"schemas/assembly.py;services/changeset_assembly.py","test_changeset_assembly.py::test_workload_limits_are_independent_of_output_budget",implementation,planned
ONT-ASSEMBLY-REQ-0020,requirement,"schemas/assembly.py;schema_disclosure.py","test_changeset_assembly_schema.py::test_progressive_stage_schema_is_reference_closed",implementation,planned
ONT-ASSEMBLY-REQ-0021,requirement,"plugin/docket_discord;skills/docket-manual-intent","test_plugin_actor_gate.py::test_valid_stage_is_not_schema_probe",implementation,planned
ONT-ASSEMBLY-ACC-0001,acceptance,"services/changeset_assembly.py;services/changeset_compiler.py","test_changeset_assembly_postgres.py::test_thirty_entry_schedule_commits_once",predeployment,planned
ONT-ASSEMBLY-ACC-0002,acceptance,"mcp/server.py;services/changeset_assembly.py","test_changeset_assembly.py::test_first_edit_needs_no_begin_call",predeployment,planned
ONT-ASSEMBLY-ACC-0003,acceptance,"models/authority.py;services/changeset_assembly.py","test_changeset_assembly.py::test_lost_stage_response_is_replay_safe",predeployment,planned
ONT-ASSEMBLY-ACC-0004,acceptance,"services/changeset_assembly.py","test_changeset_assembly_postgres.py::test_concurrent_edit_blocks_stale_commit",predeployment,planned
ONT-ASSEMBLY-ACC-0005,acceptance,"services/changeset_assembly.py;services/change_sets.py","test_changeset_assembly.py::test_lost_commit_response_replays_receipt",predeployment,planned
ONT-ASSEMBLY-ACC-0006,acceptance,"mcp/instrumented.py;services/changeset_assembly.py","test_changeset_assembly.py::test_large_detail_paginates_without_rejecting_commit",predeployment,planned
ONT-ASSEMBLY-ACC-0007,acceptance,"services/changeset_compiler.py","test_changeset_compiler.py::test_compiler_refuses_semantic_invention",predeployment,planned
ONT-ASSEMBLY-ACC-0008,acceptance,"models/authority.py;services/changeset_assembly.py","test_changeset_assembly.py::test_edit_remove_preserve_revision_history",predeployment,planned
ONT-ASSEMBLY-ACC-0009,acceptance,"services/interactive_authority.py","test_changeset_assembly.py::test_small_request_retains_direct_fast_path",predeployment,planned
ONT-ASSEMBLY-ACC-0010,acceptance,"services/changeset_assembly.py;services/gateway_lifetimes.py","test_deployment_continuity.py::test_restart_resumes_server_held_assembly",predeployment,planned
ONT-ASSEMBLY-ACC-0011,acceptance,"models/authority.py;services/changeset_assembly.py","test_changeset_assembly.py::test_old_retry_cannot_undo_newer_replacement",predeployment,planned
ONT-ASSEMBLY-ACC-0012,acceptance,"services/changeset_assembly.py","test_changeset_assembly_postgres.py::test_stale_attempt_cannot_edit_current_draft",predeployment,planned
ONT-ASSEMBLY-ACC-0013,acceptance,"services/changeset_compiler.py","test_changeset_compiler.py::test_no_class_replacement_removes_event_and_provider_action",predeployment,planned
ONT-ASSEMBLY-ACC-0014,acceptance,"services/changeset_assembly.py","test_changeset_assembly.py::test_review_pages_remain_one_revision",predeployment,planned
ONT-ASSEMBLY-ACC-0015,acceptance,"schemas/assembly.py;services/changeset_assembly.py","test_changeset_assembly.py::test_direct_and_assembled_paths_cannot_collide",predeployment,planned
ONT-ASSEMBLY-ACC-0016,acceptance,"internal_api/router.py;services/changeset_assembly.py","test_changeset_assembly_postgres.py::test_same_attempt_concurrent_calls_bind_old_revision",predeployment,planned
